customer_id,age,employment_type,employer_type,monthly_income,employment_tenure_months,residence_type,city_tier,marital_status,dependents,bureau_score,active_loans,closed_loans,unsecured_loans,credit_utilization_ratio,max_dpd_last_12m,inquiries_last_3m,oldest_trade_line_months,credit_cards_active,monthly_salary_credit,salary_credit_consistency_6m,average_monthly_balance_6m,cheque_bounces_6m,cash_deposits_6m,banking_stability_index,emi_obligation_amount,desired_amount,loan_type,dti_ratio,net_disposable_income,g5_score,g6_score,decision_status,eligible_amount,interest_rate
CUST-000011,31,SALARIED,PRIVATE,85135,75,RENTED,TIER_2,SINGLE,1,698,3,4,1,0.4158,0,0,45,3,89097,0.9581,62458,0,4,0.7808,25835,128667,PERSONAL,0.3035,59300,0.7253,0.6403,REJECTED,0,0.0
CUST-000012,31,SALARIED,PRIVATE,41657,75,RENTED,TIER_1,SINGLE,0,643,1,2,1,0.5393,9,0,57,0,41388,0.9577,16670,0,3,0.6933,4718,66534,PERSONAL,0.1133,36939,0.6453,0.4994,REJECTED,0,0.0
CUST-000013,36,SALARIED,PRIVATE,25000,133,RENTED,TIER_3,SINGLE,1,785,2,2,1,0.2888,0,4,37,3,25148,0.9339,10000,0,1,0.7375,13286,232362,PERSONAL,0.5314,11714,0.7023,0.6793,REJECTED,0,0.0
CUST-000014,22,SELF_EMPLOYED,N/A,65753,6,RENTED,TIER_2,MARRIED,0,718,1,0,1,0.2329,0,4,31,1,66598,0.9614,30083,0,4,0.8522,23320,176235,PERSONAL,0.3547,42433,0.8257,0.6796,APPROVED,176235,0.155
CUST-000015,22,SALARIED,GOVERNMENT,108729,6,OWNED,TIER_1,MARRIED,2,734,2,2,0,0.5726,14,2,41,0,113456,0.8235,60137,0,5,0.6888,21184,50000,PERSONAL,0.1948,87545,0.7019,0.659,APPROVED,50000,0.135
CUST-000016,30,SALARIED,MNC,77884,40,COMPANY,TIER_3,MARRIED,0,785,0,2,0,0.2291,0,0,42,0,75989,0.9601,44709,0,5,0.7931,0,187381,PERSONAL,0.0,77884,0.7313,0.7167,APPROVED,187381,0.12
CUST-000017,26,SALARIED,GOVERNMENT,41923,30,OWNED,TIER_3,SINGLE,0,695,1,3,1,0.2846,28,2,83,4,42389,0.8905,11452,0,3,0.7616,8370,122737,PERSONAL,0.1997,33553,0.6946,0.6014,REJECTED,0,0.0
CUST-000018,37,PROFESSIONAL,N/A,26930,135,COMPANY,TIER_2,SINGLE,2,717,0,1,0,0.2676,0,1,15,1,26457,0.9644,17526,2,3,0.6348,0,221098,PERSONAL,0.0,26930,0.5852,0.6107,APPROVED,113106,0.155
CUST-000019,27,SALARIED,PRIVATE,51775,38,RENTED,TIER_1,MARRIED,2,676,1,2,1,0.4612,0,1,47,1,50309,0.9191,46881,0,5,0.8327,11801,142320,PERSONAL,0.2279,39974,0.7242,0.6064,REJECTED,0,0.0
CUST-000020,23,SALARIED,GOVERNMENT,51197,6,COMPANY,TIER_1,SINGLE,3,676,1,0,0,0.3636,0,0,63,1,49071,0.9174,45041,0,3,0.8392,10264,100328,PERSONAL,0.2005,40933,0.7377,0.6692,REJECTED,0,0.0
CUST-000021,46,PROFESSIONAL,N/A,35559,186,RENTED,TIER_3,MARRIED,2,684,1,4,1,0.2877,0,0,95,0,35988,0.9297,34782,0,2,0.8204,5486,356081,PERSONAL,0.1543,30073,0.6961,0.6504,REJECTED,0,0.0
CUST-000022,33,SELF_EMPLOYED,N/A,70477,99,COMPANY,TIER_3,MARRIED,1,707,0,4,0,0.5072,0,0,33,1,73169,0.9078,26030,0,3,0.7436,0,329184,PERSONAL,0.0,70477,0.7373,0.6034,APPROVED,296003,0.155
CUST-000023,35,SELF_EMPLOYED,N/A,126256,110,COMPANY,TIER_1,DIVORCED,3,713,2,3,2,0.1673,0,2,21,2,124379,0.9268,107674,0,1,0.8658,19739,136700,PERSONAL,0.1563,106517,0.8188,0.6937,APPROVED,136700,0.155
CUST-000024,23,SALARIED,PRIVATE,60786,6,OWNED,TIER_1,MARRIED,1,750,1,6,0,0.5738,0,2,65,3,61106,0.9444,25103,1,4,0.6158,9567,180721,PERSONAL,0.1574,51219,0.5418,0.614,APPROVED,180721,0.12
CUST-000025,30,SALARIED,MNC,59118,57,COMPANY,TIER_3,MARRIED,0,685,3,4,0,0.6267,0,0,51,0,59958,0.8762,48638,0,5,0.8431,31143,119226,PERSONAL,0.5268,27975,0.6956,0.5782,REJECTED,0,0.0
CUST-000026,35,SALARIED,PRIVATE,36074,99,OWNED,TIER_1,SINGLE,2,752,0,1,0,0.2559,0,0,42,0,35766,0.9758,16115,0,3,0.8723,0,63904,PERSONAL,0.0,36074,0.7753,0.6539,APPROVED,63904,0.12
CUST-000027,25,PROFESSIONAL,N/A,103148,16,RENTED,TIER_2,SINGLE,3,761,1,1,1,0.2944,0,1,58,2,107308,0.9099,71246,0,3,0.9243,3885,289884,PERSONAL,0.0377,99263,0.8336,0.6971,APPROVED,289884,0.12
CUST-000028,38,SALARIED,MNC,53171,103,RENTED,TIER_3,MARRIED,1,709,4,1,0,0.1635,0,0,68,1,52441,0.8942,58954,0,1,0.786,15771,100661,PERSONAL,0.2966,37400,0.5932,0.704,APPROVED,100661,0.155
CUST-000029,30,SALARIED,PRIVATE,42385,73,OWNED,TIER_1,SINGLE,1,690,1,3,0,0.5011,0,1,65,0,40795,0.9486,36934,0,2,0.8001,10167,283554,PERSONAL,0.2399,32218,0.6395,0.6207,REJECTED,0,0.0
CUST-000030,32,SALARIED,MNC,56599,95,RENTED,TIER_2,MARRIED,0,739,0,1,0,0.5938,9,1,55,1,54584,0.9376,23482,0,2,0.8047,19928,212565,PERSONAL,0.3521,36671,0.7466,0.6542,APPROVED,212565,0.135
CUST-000031,30,SELF_EMPLOYED,N/A,68014,45,OWNED,TIER_1,MARRIED,0,723,1,3,1,0.2675,0,0,79,2,70672,0.9403,25876,0,6,0.8,3526,173159,PERSONAL,0.0518,64488,0.7061,0.6784,APPROVED,173159,0.135
CUST-000032,49,SALARIED,PRIVATE,58555,230,COMPANY,TIER_1,MARRIED,1,747,1,2,1,0.4387,19,0,52,1,61412,0.9534,47926,0,5,0.8687,6611,146962,PERSONAL,0.1129,51944,0.6343,0.6346,APPROVED,146962,0.135
CUST-000033,34,SALARIED,GOVERNMENT,94642,94,RENTED,TIER_3,SINGLE,2,821,2,2,2,0.3199,0,5,49,1,92644,0.9278,96260,0,4,0.8553,20757,213013,PERSONAL,0.2193,73885,0.8213,0.7739,APPROVED,213013,0.12
CUST-000034,26,SALARIED,MNC,65373,46,OWNED,TIER_2,MARRIED,0,738,2,2,2,0.1931,0,3,65,1,63043,0.8583,46581,0,6,0.7755,8278,94201,PERSONAL,0.1266,57095,0.7465,0.7217,APPROVED,94201,0.135
CUST-000035,41,SALARIED,PRIVATE,48402,152,COMPANY,TIER_3,DIVORCED,3,699,3,1,1,0.2724,11,2,17,0,48315,0.8789,23670,0,4,0.7832,27139,292318,PERSONAL,0.55,21263,0.6677,0.6232,REJECTED,0,0.0
CUST-000036,25,SALARIED,MNC,65882,25,COMPANY,TIER_2,SINGLE,2,686,3,4,1,0.3133,0,1,62,2,67262,0.9217,40196,0,1,0.8537,24719,161134,PERSONAL,0.3752,41163,0.7953,0.6035,REJECTED,0,0.0
CUST-000037,36,SALARIED,GOVERNMENT,68866,116,COMPANY,TIER_1,DIVORCED,2,688,2,3,2,0.5178,0,6,40,0,69640,0.8717,49122,0,6,0.7339,7975,316761,PERSONAL,0.1158,60891,0.6753,0.5645,REJECTED,0,0.0
CUST-000038,22,SALARIED,PRIVATE,30690,6,OWNED,TIER_1,MARRIED,3,654,1,1,1,0.5828,0,2,16,0,32074,0.831,17766,3,2,0.4665,6157,141101,PERSONAL,0.2006,24533,0.5449,0.5225,REJECTED,0,0.0
CUST-000039,24,SALARIED,PRIVATE,92256,30,COMPANY,TIER_1,DIVORCED,0,786,3,0,2,0.4253,0,6,58,1,95187,0.8673,38291,0,2,0.8087,11257,161077,PERSONAL,0.122,80999,0.7405,0.6806,APPROVED,161077,0.12
CUST-000040,36,SALARIED,GOVERNMENT,48034,98,OWNED,TIER_1,MARRIED,1,612,1,4,1,0.1324,0,1,37,0,49806,0.8923,44105,0,3,0.7603,10613,171157,PERSONAL,0.2209,37421,0.6166,0.5534,REJECTED,0,0.0
CUST-000041,40,SALARIED,PRIVATE,48590,139,RENTED,TIER_1,MARRIED,2,761,1,1,1,0.5162,0,0,9,3,48792,0.8867,61800,0,5,0.6525,10776,200063,PERSONAL,0.2218,37814,0.6719,0.6559,APPROVED,200063,0.12
CUST-000042,36,SALARIED,PRIVATE,77126,118,OWNED,TIER_1,MARRIED,3,687,1,1,0,0.5667,0,0,27,1,75793,0.9652,81878,0,3,0.915,9800,370951,PERSONAL,0.1271,67326,0.8006,0.5159,REJECTED,0,0.0
CUST-000043,34,SALARIED,PRIVATE,76980,89,OWNED,TIER_2,MARRIED,2,706,1,5,0,0.1425,0,2,88,1,78532,0.8867,19380,0,3,0.7776,5182,120494,PERSONAL,0.0673,71798,0.7132,0.7647,APPROVED,120494,0.155
CUST-000044,32,SALARIED,GOVERNMENT,40123,89,RENTED,TIER_2,SINGLE,1,685,1,2,1,0.1407,18,2,34,1,39878,0.9355,38226,0,1,0.7654,7709,140707,PERSONAL,0.1921,32414,0.7134,0.5949,REJECTED,0,0.0
CUST-000045,23,SALARIED,PRIVATE,78936,24,OWNED,TIER_2,MARRIED,3,814,0,1,0,0.3695,0,1,55,0,77260,0.9698,59685,0,2,0.8748,0,148564,PERSONAL,0.0,78936,0.7042,0.7472,APPROVED,148564,0.12
CUST-000046,29,SALARIED,MNC,42739,68,OWNED,TIER_2,MARRIED,0,735,3,4,1,0.51,0,1,21,0,41252,0.8977,19714,0,3,0.782,16594,50000,PERSONAL,0.3883,26145,0.7214,0.6418,APPROVED,50000,0.135
CUST-000047,31,SALARIED,MNC,124728,48,RENTED,TIER_1,SINGLE,3,778,3,3,1,0.4492,19,3,98,0,125075,0.9384,34138,0,1,0.7435,22932,113656,PERSONAL,0.1839,101796,0.7872,0.6772,APPROVED,113656,0.12
CUST-000048,43,PROFESSIONAL,N/A,37888,169,OWNED,TIER_1,MARRIED,4,806,3,7,0,0.1515,0,1,49,1,38245,0.9143,21722,0,1,0.8214,28845,117414,PERSONAL,0.55,9043,0.6746,0.7724,REJECTED,0,0.0
CUST-000049,37,SALARIED,MNC,61258,132,OWNED,TIER_2,SINGLE,0,743,2,2,1,0.307,0,1,31,3,61679,0.9576,42510,0,4,0.8246,7703,500000,PERSONAL,0.1257,53555,0.7466,0.6464,APPROVED,257283,0.135
CUST-000050,22,SELF_EMPLOYED,N/A,38683,6,OWNED,TIER_2,MARRIED,2,669,1,3,1,0.2259,0,1,69,1,37199,0.8835,14907,0,2,0.7537,5670,170693,PERSONAL,0.1466,33013,0.6442,0.634,REJECTED,0,0.0
CUST-000051,37,SALARIED,GOVERNMENT,149537,128,RENTED,TIER_1,SINGLE,0,722,1,1,1,0.1588,0,1,97,1,150583,0.9535,146880,0,4,0.7967,11339,191977,PERSONAL,0.0758,138198,0.8654,0.6759,APPROVED,191977,0.135
CUST-000052,31,SALARIED,PRIVATE,31510,80,RENTED,TIER_3,SINGLE,1,694,1,1,0,0.3046,0,0,38,1,30465,0.9668,30651,0,4,0.7874,11122,71973,PERSONAL,0.353,20388,0.7041,0.651,REJECTED,0,0.0
CUST-000053,29,SELF_EMPLOYED,N/A,69637,41,RENTED,TIER_3,MARRIED,1,707,2,4,0,0.5618,0,3,31,1,70777,0.8336,50382,0,1,0.823,22899,145368,PERSONAL,0.3288,46738,0.7536,0.6577,APPROVED,145368,0.155
CUST-000054,39,SALARIED,MNC,39512,146,COMPANY,TIER_2,MARRIED,2,729,0,2,0,0.4056,20,2,103,0,39232,0.9146,13689,0,3,0.7293,0,239531,PERSONAL,0.0,39512,0.6533,0.6367,APPROVED,165950,0.135
CUST-000055,43,SALARIED,PRIVATE,46898,171,RENTED,TIER_1,MARRIED,3,727,0,0,0,0.096,24,2,45,2,48533,0.9123,25338,0,3,0.7608,17334,500000,PERSONAL,0.3696,29564,0.7223,0.723,APPROVED,196971,0.135
CUST-000056,42,SALARIED,PRIVATE,67452,167,OWNED,TIER_3,SINGLE,2,757,2,0,0,0.1112,30,2,42,4,69328,0.8993,54058,0,1,0.8149,11184,106536,PERSONAL,0.1658,56268,0.7819,0.7863,APPROVED,106536,0.12
CUST-000057,28,SALARIED,PRIVATE,95430,36,RENTED,TIER_2,MARRIED,1,765,0,2,0,0.2771,0,1,6,2,97571,0.9303,74489,0,3,0.8911,0,60512,PERSONAL,0.0,95430,0.8566,0.7043,APPROVED,60512,0.12
CUST-000058,32,PROFESSIONAL,N/A,114189,81,RENTED,TIER_3,MARRIED,3,727,4,4,0,0.3453,0,4,47,1,116481,0.9368,51801,0,2,0.8104,17735,101794,PERSONAL,0.1553,96454,0.7637,0.6823,APPROVED,101794,0.135
CUST-000059,37,SELF_EMPLOYED,N/A,27541,99,OWNED,TIER_3,MARRIED,4,757,0,5,0,0.369,0,4,15,1,27707,0.8353,13248,0,5,0.8041,0,101999,PERSONAL,0.0,27541,0.7171,0.6675,APPROVED,101999,0.12
CUST-000060,42,PROFESSIONAL,N/A,62042,132,OWNED,TIER_3,MARRIED,0,704,0,2,0,0.3023,0,0,34,1,59319,0.8375,27856,0,5,0.7788,24496,102477,PERSONAL,0.3948,37546,0.7707,0.6822,APPROVED,102477,0.155
CUST-000061,31,SALARIED,PRIVATE,106070,73,RENTED,TIER_2,MARRIED,4,807,1,2,1,0.1167,0,2,6,1,107719,0.8908,56833,0,6,0.8394,6902,236131,PERSONAL,0.0651,99168,0.7767,0.7623,APPROVED,236131,0.12
CUST-000062,33,SELF_EMPLOYED,N/A,25763,101,RENTED,TIER_1,SINGLE,0,703,1,3,1,0.0677,0,0,77,1,25677,0.947,12723,0,3,0.9057,9328,178043,PERSONAL,0.3621,16435,0.7741,0.6965,APPROVED,108204,0.155
CUST-000063,26,PROFESSIONAL,N/A,63358,35,RENTED,TIER_2,MARRIED,3,800,4,4,1,0.1358,10,1,12,0,63165,0.9414,29090,0,2,0.7835,35440,85321,PERSONAL,0.55,27918,0.7244,0.8111,REJECTED,0,0.0
CUST-000064,25,SALARIED,MNC,54948,23,OWNED,TIER_2,MARRIED,1,653,1,1,0,0.2461,0,1,6,3,54283,0.9513,31203,0,1,0.8145,9594,304520,PERSONAL,0.1746,45354,0.6785,0.5361,REJECTED,0,0.0
CUST-000065,41,SALARIED,GOVERNMENT,66279,149,OWNED,TIER_2,SINGLE,0,714,1,2,0,0.6037,0,6,26,1,69122,0.9321,40408,0,2,0.8188,4125,386508,PERSONAL,0.0622,62154,0.7054,0.5741,APPROVED,278371,0.155
CUST-000066,45,SELF_EMPLOYED,N/A,38853,172,RENTED,TIER_1,SINGLE,1,716,2,2,1,0.2643,71,6,77,1,37879,0.9122,36009,0,1,0.8465,10985,63951,PERSONAL,0.2827,27868,0.6544,0.6257,APPROVED,63951,0.155
CUST-000067,34,SALARIED,PRIVATE,28826,93,RENTED,TIER_1,MARRIED,2,750,1,4,0,0.1144,0,0,37,1,28297,0.8599,10000,0,3,0.7819,4991,270280,PERSONAL,0.1731,23835,0.6765,0.7594,APPROVED,121069,0.12
CUST-000068,43,SELF_EMPLOYED,N/A,25000,173,RENTED,TIER_3,MARRIED,1,782,5,2,1,0.4624,0,2,40,0,26157,0.9516,24428,0,4,0.8071,32093,137768,PERSONAL,0.55,-7093,0.6761,0.6543,REJECTED,0,0.0
CUST-000069,37,SALARIED,PRIVATE,85345,114,COMPANY,TIER_2,MARRIED,0,666,3,2,1,0.4634,0,2,59,2,87992,0.9089,37975,0,4,0.7946,29613,93656,PERSONAL,0.347,55732,0.7546,0.5788,REJECTED,0,0.0
CUST-000070,29,SELF_EMPLOYED,N/A,90391,65,COMPANY,TIER_3,DIVORCED,2,674,4,2,2,0.2376,0,1,44,2,85998,0.9114,114150,0,1,0.95,37693,72460,PERSONAL,0.417,52698,0.8617,0.6381,REJECTED,0,0.0
CUST-000071,37,SALARIED,MNC,63025,122,RENTED,TIER_3,MARRIED,3,657,2,2,1,0.2886,2,0,77,3,65584,0.8354,49500,0,1,0.8056,17925,119610,PERSONAL,0.2844,45100,0.7248,0.5883,REJECTED,0,0.0
CUST-000072,47,SALARIED,PRIVATE,43248,203,OWNED,TIER_2,DIVORCED,1,807,1,3,1,0.225,0,5,42,1,42065,0.9421,32299,0,5,0.7244,16663,115550,PERSONAL,0.3853,26585,0.6637,0.8171,APPROVED,115550,0.12
CUST-000073,34,SALARIED,PRIVATE,26495,106,RENTED,TIER_2,SINGLE,0,751,1,1,1,0.2627,0,3,42,1,27040,0.9096,15249,0,3,0.7819,4279,161480,PERSONAL,0.1615,22216,0.6674,0.6181,APPROVED,111279,0.12
CUST-000074,47,SELF_EMPLOYED,N/A,70869,193,RENTED,TIER_3,MARRIED,1,675,2,3,1,0.5857,0,1,102,1,71245,0.9117,97049,0,0,0.8427,10019,438630,PERSONAL,0.1414,60850,0.6732,0.5823,REJECTED,0,0.0
CUST-000075,22,SALARIED,PRIVATE,33514,7,OWNED,TIER_2,MARRIED,0,710,1,2,1,0.2388,0,2,49,0,33637,0.8204,19863,0,8,0.7687,12236,116358,PERSONAL,0.3651,21278,0.7061,0.6436,APPROVED,116358,0.155
CUST-000076,41,SALARIED,MNC,39934,147,COMPANY,TIER_2,MARRIED,3,799,2,2,2,0.1533,0,2,53,1,40804,0.8422,43863,0,2,0.8042,14066,74243,PERSONAL,0.3522,25868,0.6925,0.7073,APPROVED,74243,0.12
CUST-000077,35,SALARIED,GOVERNMENT,42240,108,COMPANY,TIER_1,MARRIED,3,719,2,4,0,0.3039,0,0,42,1,41003,0.8137,20140,0,5,0.7822,15959,127172,PERSONAL,0.3778,26281,0.6967,0.6083,APPROVED,127172,0.155
CUST-000078,32,SELF_EMPLOYED,N/A,50321,72,OWNED,TIER_2,MARRIED,2,716,1,1,1,0.2767,0,4,6,0,48605,0.8992,40214,0,3,0.8351,3676,252557,PERSONAL,0.0731,46645,0.7132,0.7148,APPROVED,211348,0.155
CUST-000079,35,SALARIED,PRIVATE,39086,93,RENTED,TIER_2,SINGLE,1,692,1,4,0,0.1664,0,6,68,0,39679,0.9414,50109,0,2,0.8595,9750,132528,PERSONAL,0.2494,29336,0.722,0.666,REJECTED,0,0.0
CUST-000080,22,SELF_EMPLOYED,N/A,55834,6,OWNED,TIER_1,DIVORCED,2,678,1,2,0,0.1276,0,0,87,1,54664,0.9065,23863,3,7,0.5409,21872,207757,PERSONAL,0.3917,33962,0.5721,0.6623,REJECTED,0,0.0
CUST-000081,33,SALARIED,PRIVATE,41575,65,RENTED,TIER_1,SINGLE,2,800,3,2,0,0.4644,0,2,78,2,43545,0.9044,30361,0,0,0.7331,24505,163307,PERSONAL,0.55,17070,0.6755,0.7604,REJECTED,0,0.0
CUST-000082,37,SALARIED,GOVERNMENT,75410,116,OWNED,TIER_1,SINGLE,3,827,1,1,0,0.2729,0,0,34,2,75044,0.871,34109,0,3,0.7713,3807,154658,PERSONAL,0.0505,71603,0.7034,0.728,APPROVED,154658,0.12
CUST-000083,46,SALARIED,GOVERNMENT,87471,172,RENTED,TIER_1,MARRIED,2,680,2,2,0,0.2048,9,5,43,1,84073,0.8703,62324,0,4,0.8184,22021,331705,PERSONAL,0.2518,65450,0.7592,0.6308,REJECTED,0,0.0
CUST-000084,30,SALARIED,PRIVATE,57753,73,OWNED,TIER_1,MARRIED,2,812,3,3,2,0.3492,6,1,56,2,58826,0.9302,73917,0,4,0.8558,35072,92440,PERSONAL,0.55,22681,0.6964,0.7972,REJECTED,0,0.0
CUST-000085,28,SELF_EMPLOYED,N/A,67729,60,RENTED,TIER_2,MARRIED,2,708,1,2,1,0.6551,0,0,55,1,66416,0.9637,27975,0,4,0.7771,25091,89148,PERSONAL,0.3705,42638,0.74,0.57,APPROVED,89148,0.155
CUST-000086,30,SALARIED,MNC,142646,53,RENTED,TIER_3,SINGLE,1,764,0,1,0,0.2998,19,2,64,0,137633,0.9181,91098,1,8,0.6808,0,95224,PERSONAL,0.0,142646,0.7736,0.7592,APPROVED,95224,0.12
CUST-000087,42,SALARIED,PRIVATE,32448,165,COMPANY,TIER_2,DIVORCED,4,812,3,1,0,0.2329,0,2,52,2,32197,0.9351,13943,0,4,0.7599,31732,178269,PERSONAL,0.55,716,0.6227,0.7462,REJECTED,0,0.0
CUST-000088,37,SELF_EMPLOYED,N/A,31572,130,RENTED,TIER_1,SINGLE,1,727,2,4,2,0.3018,0,1,39,2,33037,0.9248,17988,0,2,0.8547,15717,154061,PERSONAL,0.4978,15855,0.7445,0.6662,REJECTED,0,0.0
CUST-000089,30,SALARIED,PRIVATE,75194,74,OWNED,TIER_1,MARRIED,2,716,1,2,1,0.2904,0,2,51,4,74528,0.9213,57843,0,1,0.7223,5909,213941,PERSONAL,0.0786,69285,0.6896,0.666,APPROVED,213941,0.155
CUST-000090,39,SALARIED,MNC,132062,138,RENTED,TIER_2,MARRIED,0,779,2,0,0,0.391,0,1,71,0,130045,0.858,70328,2,2,0.5199,14614,144403,PERSONAL,0.1107,117448,0.69,0.7387,APPROVED,144403,0.12
CUST-000091,35,PROFESSIONAL,N/A,48916,112,RENTED,TIER_1,SINGLE,2,673,0,4,0,0.4235,0,1,117,0,48644,0.8933,55083,0,0,0.8452,18630,136024,PERSONAL,0.3809,30286,0.7551,0.5685,REJECTED,0,0.0
CUST-000092,42,SALARIED,PRIVATE,119630,152,RENTED,TIER_3,MARRIED,2,798,0,1,0,0.1601,0,1,36,2,113793,0.7627,87087,0,4,0.7924,0,176834,PERSONAL,0.0,119630,0.8284,0.8058,APPROVED,176834,0.12
CUST-000093,29,SALARIED,GOVERNMENT,57439,56,RENTED,TIER_2,SINGLE,0,742,0,2,0,0.6028,90,3,53,0,55331,0.854,20298,0,3,0.6946,22688,350326,PERSONAL,0.395,34751,0.6616,0.6507,APPROVED,241243,0.135
CUST-000094,32,PROFESSIONAL,N/A,40485,74,COMPANY,TIER_3,SINGLE,0,703,2,3,2,0.3514,5,2,39,0,41900,0.958,27605,0,1,0.8528,19389,83888,PERSONAL,0.4789,21096,0.7206,0.5602,REJECTED,0,0.0
CUST-000095,31,SALARIED,PRIVATE,35216,63,RENTED,TIER_1,SINGLE,2,701,0,3,0,0.423,0,2,55,1,36899,0.8558,37906,0,3,0.8196,0,94685,PERSONAL,0.0,35216,0.7258,0.6862,APPROVED,94685,0.155
CUST-000096,23,SALARIED,PRIVATE,73008,8,COMPANY,TIER_2,MARRIED,2,658,2,2,0,0.4601,0,0,71,0,70510,0.8954,54418,1,6,0.7317,16540,153114,PERSONAL,0.2266,56468,0.7615,0.5187,REJECTED,0,0.0
CUST-000097,37,SALARIED,MNC,36437,124,OWNED,TIER_1,MARRIED,1,705,1,2,0,0.2156,0,1,43,0,36566,0.9233,24265,3,4,0.5139,9198,414416,PERSONAL,0.2524,27239,0.5965,0.7253,APPROVED,153035,0.155
CUST-000098,37,SELF_EMPLOYED,N/A,57048,133,RENTED,TIER_3,MARRIED,0,720,1,3,0,0.4468,0,5,6,0,59708,0.9694,30388,0,1,0.8387,4261,87777,PERSONAL,0.0747,52787,0.7491,0.625,APPROVED,87777,0.135
CUST-000099,35,SALARIED,PRIVATE,112156,107,OWNED,TIER_2,MARRIED,2,676,3,4,1,0.1693,0,2,72,2,108304,0.9224,64731,0,1,0.8286,18677,149252,PERSONAL,0.1665,93479,0.7531,0.6079,REJECTED,0,0.0
CUST-000100,33,SALARIED,MNC,47907,95,OWNED,TIER_1,MARRIED,0,732,1,5,1,0.1023,0,6,51,0,46404,0.8496,28869,0,3,0.8086,11149,96731,PERSONAL,0.2327,36758,0.6487,0.713,APPROVED,96731,0.135
CUST-000101,23,SELF_EMPLOYED,N/A,99348,15,OWNED,TIER_1,SINGLE,1,761,1,2,1,0.1947,0,3,39,1,103588,0.8279,22408,3,3,0.4718,8104,183043,PERSONAL,0.0816,91244,0.6723,0.689,APPROVED,183043,0.12
CUST-000102,31,SELF_EMPLOYED,N/A,31842,104,RENTED,TIER_1,SINGLE,0,723,0,2,0,0.1462,18,0,34,4,32496,0.848,22998,3,7,0.4862,0,53437,PERSONAL,0.0,31842,0.5457,0.6045,APPROVED,53437,0.135
CUST-000103,32,SALARIED,PRIVATE,43253,58,RENTED,TIER_2,MARRIED,0,771,4,1,2,0.2197,0,2,55,1,41747,0.9475,38664,0,5,0.825,16420,89348,PERSONAL,0.3796,26833,0.6726,0.7205,APPROVED,89348,0.12
